Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Booking_Lead_Time
P1109,F1953,Southwest,SFO,DEN,2024-02-16 06:52:38,291,On-time,1276,420.09,52,Male,Medium,Family,Business,0,Platinum,Airport Kiosk,8.401436401364128,9.0,74,0,0,Window,66
P1114,F1852,United,LAX,DFW,2023-10-31 21:20:27,335,On-time,952,271.66,56,Male,Low,Business,Premium Economy,1,Gold,Airport Kiosk,7.073362297597774,54.0,60,0,0,Window,60
P1115,F1728,JetBlue,ATL,LAX,2024-09-21 10:22:37,182,On-time,1497,217.02,50,Male,Medium,Leisure,Premium Economy,2,Silver,Mobile App,8.177413776313225,4.0,14,0,0,Aisle,50
P1116,F1595,Delta,DEN,DFW,2025-04-16 06:07:23,218,On-time,1392,464.9,65,Female,Medium,Leisure,Premium Economy,0,Platinum,Online,6.413470989936025,43.0,47,0,0,Window,18
P1117,F1737,Delta,SFO,SFO,2023-12-16 02:35:33,162,Delayed,1146,331.91,28,Male,Low,Business,Premium Economy,2,Platinum,Desk,7.880390837077894,36.0,1,0,0,Middle,20
P1119,F1594,Delta,JFK,ORD,2023-05-03 14:51:56,191,On-time,1042,259.91,46,Female,High,Leisure,Economy,2,Silver,Mobile App,7.559698590286157,6.0,46,1,0,Window,81
P1123,F920,American Airlines,ORD,ORD,2023-07-09 23:55:31,204,Delayed,1235,265.91,42,Female,Medium,Business,Premium Economy,2,Gold,Desk,8.612957397119503,1.0,111,0,0,Window,21
P1124,F526,Delta,DEN,LAX,2023-11-13 00:51:28,150,On-time,1171,132.64,43,Male,Low,Family,Economy,1,Platinum,Online,7.685662611845293,19.0,56,0,0,Middle,20
P1125,F1557,American Airlines,DFW,ORD,2024-06-16 13:38:14,130,On-time,1217,382.08,72,Female,Low,Business,Economy,1,Gold,Mobile App,7.674213179527734,42.0,74,0,0,Aisle,69
P1126,F1519,United,LAX,SFO,2023-09-19 04:34:59,164,On-time,1538,230.82,57,Male,Low,Leisure,Economy,3,Platinum,Airport Kiosk,6.677225698991205,10.0,28,0,0,Aisle,0
P1130,F1466,American Airlines,DEN,JFK,2024-05-22 12:57:16,119,On-time,1291,346.91,46,Female,Medium,Business,Economy,1,Gold,Desk,8.780358846857197,16.0,49,0,0,Window,89
P1133,F1130,Delta,ORD,LAX,2023-05-23 17:29:54,100,On-time,1388,377.61,31,Male,High,Leisure,Premium Economy,0,Gold,Desk,9.121393256674851,3.0,111,0,0,Window,48
P1134,F276,United,ATL,JFK,2023-05-20 03:49:54,265,On-time,1457,406.27,34,Female,Low,Business,Premium Economy,1,Silver,Airport Kiosk,8.88949780975872,5.0,22,0,0,Aisle,77
P1137,F1365,United,SEA,SFO,2023-05-13 18:00:16,215,On-time,869,480.42,31,Female,Low,Business,Economy,1,Gold,Online,7.63094750312264,10.0,79,0,0,Window,26
P1138,F940,Southwest,DEN,SEA,2024-06-30 21:16:08,72,On-time,1379,222.97,59,Female,High,Family,Economy,0,Gold,Airport Kiosk,7.925389515471877,0.0,4,0,0,Aisle,72
P1139,F244,Delta,SEA,LAX,2024-01-03 00:03:21,130,On-time,932,421.04,50,Female,Medium,Emergency,Premium Economy,0,Silver,Mobile App,7.070894309982005,4.0,70,0,0,Middle,25
P1142,F83,Delta,ATL,ORD,2024-04-16 00:26:37,137,On-time,1218,265.05,60,Male,High,Business,Economy,0,Silver,Desk,8.57858263329796,2.0,90,0,1,Middle,120
P1144,F1150,Southwest,SEA,LAX,2025-03-25 07:53:59,54,On-time,1427,325.11,51,Male,Low,Business,Economy,1,Silver,Airport Kiosk,7.915759325227858,5.0,83,0,0,Window,110
P1146,F875,JetBlue,JFK,ORD,2024-02-21 05:24:18,194,On-time,1471,348.79,27,Female,Low,Business,Economy,0,Silver,Airport Kiosk,6.562042128051209,35.0,1,0,0,Middle,93
P1147,F1575,JetBlue,DEN,DEN,2023-09-18 20:24:53,119,On-time,1531,371.79,78,Female,Low,Family,Economy,0,Gold,Desk,7.984830867754036,4.0,37,0,1,Window,106
P1148,F208,JetBlue,SFO,ATL,2024-10-11 10:09:43,146,On-time,1199,345.65,28,Female,Medium,Business,Economy,0,Platinum,Mobile App,6.840046611022257,4.0,109,0,0,Window,62
P1149,F336,JetBlue,DFW,SFO,2024-09-25 15:56:47,88,On-time,943,316.18,29,Female,Medium,Emergency,Economy,1,Silver,Airport Kiosk,7.607020633354432,3.0,50,0,0,Window,47
P1150,F166,United,DFW,SFO,2025-02-04 10:54:40,357,Cancelled,1291,233.42,65,Male,Medium,Emergency,Premium Economy,0,Gold,Airport Kiosk,8.726266009174692,0.0,77,0,0,Window,60
P1154,F1477,Delta,ATL,ORD,2023-05-18 03:59:22,146,Delayed,1522,278.14,53,Male,Low,Family,Economy,2,Silver,Desk,6.958131293244727,3.0,14,0,0,Middle,0
P1155,F794,JetBlue,ATL,SEA,2024-11-09 23:20:56,212,On-time,1066,354.44,56,Female,Low,Business,Premium Economy,1,Platinum,Airport Kiosk,8.120802077360873,6.0,79,0,0,Window,7
P1156,F731,American Airlines,SEA,JFK,2023-10-06 06:09:39,304,On-time,1532,259.65,57,Male,High,Business,Business,1,Platinum,Online,8.543966439861634,4.0,47,0,1,Aisle,112
P1158,F775,JetBlue,ATL,LAX,2024-03-14 18:51:20,213,On-time,1258,301.84,68,Male,High,Family,Economy,0,Gold,Airport Kiosk,7.9467015911378365,4.0,63,0,0,Aisle,51
P1159,F211,United,LAX,DFW,2024-10-21 00:15:10,172,On-time,1611,457.56,77,Female,Medium,Family,Economy,1,Gold,Online,6.527558623172773,4.0,91,0,0,Middle,78
P1164,F1371,United,LAX,DFW,2024-02-23 18:14:08,112,On-time,1325,323.69,43,Female,Medium,Emergency,Business,0,Silver,Desk,9.026143555956766,1.0,42,0,0,Window,89
P1165,F1833,Southwest,ORD,SEA,2023-11-22 06:49:03,213,On-time,1108,306.95,44,Male,Medium,Emergency,Economy,1,Silver,Mobile App,6.624519416845338,1.0,13,0,0,Window,27
P1166,F673,American Airlines,ORD,SEA,2023-05-20 18:22:54,220,On-time,1748,265.68,62,Male,Low,Family,Economy,3,Silver,Online,7.377865404217282,3.0,82,0,0,Window,86
P1167,F1863,American Airlines,SFO,DEN,2024-03-27 05:12:49,201,Cancelled,868,368.99,22,Female,Medium,Business,Economy,3,Gold,Online,7.369699495434415,5.0,87,0,1,Middle,77
P1170,F655,United,SFO,SEA,2024-06-22 04:30:09,171,On-time,1516,314.7,67,Female,High,Family,Economy,3,Platinum,Mobile App,7.65127983840314,1.0,57,1,0,Window,108
P1173,F1127,American Airlines,LAX,JFK,2024-04-20 22:51:14,77,On-time,1121,262.47,44,Female,Low,Family,Economy,3,Platinum,Airport Kiosk,7.003299516955454,7.0,49,0,0,Aisle,58
P1174,F1936,Delta,ATL,DEN,2024-11-23 21:26:51,223,On-time,1592,224.61,66,Male,Low,Family,Economy,3,Silver,Mobile App,6.80469755117581,20.0,49,0,0,Aisle,55
P1175,F1384,Southwest,DEN,ORD,2024-09-18 09:35:13,181,On-time,1162,196.42,36,Female,High,Business,First,0,Gold,Desk,9.511136289797845,26.0,17,0,0,Aisle,114
P1176,F633,Delta,LAX,ORD,2024-02-17 03:45:18,203,On-time,1630,262.3,79,Female,Medium,Family,First,0,Silver,Mobile App,8.438373223597152,15.0,100,0,0,Window,6
P1177,F755,Southwest,JFK,SFO,2024-11-26 01:54:09,127,On-time,1583,448.53,52,Female,Low,Family,Premium Economy,0,Silver,Mobile App,7.851335571428843,2.0,101,0,0,Aisle,2
P1178,F1894,Southwest,SFO,SEA,2024-12-31 05:36:14,179,On-time,1083,270.71,26,Male,Medium,Family,Premium Economy,1,Gold,Mobile App,7.938402506274459,2.0,2,0,0,Middle,110
P1179,F950,United,SEA,DEN,2024-01-12 10:49:59,122,On-time,1322,330.55,75,Male,Low,Business,Premium Economy,0,Gold,Airport Kiosk,7.859032772166938,5.0,109,0,1,Middle,22
P1183,F1540,JetBlue,ATL,LAX,2024-06-28 13:20:11,142,On-time,1965,425.23,69,Male,Medium,Business,Premium Economy,2,Silver,Airport Kiosk,8.447687078525911,5.0,66,0,0,Window,108
P1184,F1350,American Airlines,DFW,DFW,2024-02-12 21:24:29,176,On-time,1641,227.94,22,Male,Low,Emergency,Economy,0,Gold,Online,7.149801291284077,2.0,45,0,0,Aisle,17
P1188,F774,Southwest,SFO,LAX,2024-11-07 10:08:06,197,On-time,1926,217.54,26,Male,Low,Leisure,Economy,0,Silver,Airport Kiosk,5.638958528938579,48.0,66,0,0,Window,14
P1190,F647,United,SEA,DFW,2023-06-02 01:43:26,225,On-time,1332,360.25,47,Male,High,Leisure,Economy,1,Platinum,Desk,7.829293523209358,4.0,73,0,1,Aisle,88
P1192,F1814,American Airlines,JFK,ORD,2024-04-11 09:53:22,175,On-time,1154,425.78,70,Female,Low,Family,Economy,2,Silver,Desk,7.837187792441156,13.0,27,0,0,Aisle,100
P1194,F1791,United,JFK,ATL,2024-08-27 22:42:53,119,On-time,769,364.99,25,Female,Medium,Leisure,Economy,0,Silver,Desk,6.696177896514907,4.0,34,0,1,Window,73
P1197,F1170,Southwest,DEN,ATL,2025-04-13 08:41:10,231,On-time,1125,302.57,22,Male,High,Leisure,Economy,0,Gold,Online,6.767213760127957,5.0,54,0,0,Aisle,16
P1199,F1054,Delta,SEA,DEN,2023-11-01 17:44:13,188,On-time,1276,396.6,38,Male,Low,Business,Economy,1,Gold,Desk,7.659676692478453,4.0,4,0,0,Aisle,85
P1200,F1249,Southwest,ORD,DEN,2023-06-12 22:19:59,218,On-time,939,385.19,39,Female,Low,Family,Premium Economy,1,Platinum,Mobile App,8.147189258595859,9.0,33,0,0,Middle,89
P1201,F954,Delta,ATL,ORD,2024-10-11 07:06:02,246,On-time,1769,296.96,18,Male,Low,Leisure,Economy,0,Silver,Desk,7.689233452764639,4.0,84,0,1,Window,43
P1203,F828,American Airlines,JFK,DFW,2024-03-30 09:04:56,89,Cancelled,1164,232.11,58,Female,Medium,Business,Premium Economy,0,Platinum,Online,6.053678497433016,11.0,40,0,1,Middle,16
P1204,F1229,JetBlue,SEA,SEA,2024-09-30 11:24:13,278,Delayed,985,376.61,30,Male,Medium,Leisure,Premium Economy,1,Platinum,Airport Kiosk,6.250945814610261,38.0,48,0,0,Window,12
P1206,F1444,Delta,SEA,ATL,2024-01-11 09:30:19,205,On-time,1240,373.72,31,Male,Medium,Family,Economy,2,Silver,Online,7.308077603974564,6.0,78,0,0,Middle,24
P1207,F1844,JetBlue,ATL,ATL,2023-07-09 13:15:04,123,On-time,1271,427.66,18,Female,Medium,Business,Economy,1,Platinum,Airport Kiosk,6.62356334530373,12.0,27,0,0,Window,67
P1208,F1665,Delta,SFO,JFK,2025-02-08 11:19:20,123,On-time,1547,376.79,34,Female,Medium,Emergency,Economy,0,Silver,Airport Kiosk,6.293450550965576,2.0,40,0,0,Window,9
P1211,F1043,American Airlines,DEN,SEA,2024-09-09 03:19:36,224,On-time,1052,327.65,22,Male,Medium,Emergency,Premium Economy,2,Silver,Airport Kiosk,8.329886428312886,19.0,53,0,0,Window,108
P1219,F1214,JetBlue,LAX,JFK,2024-01-19 07:43:36,234,On-time,1099,463.42,28,Male,Medium,Business,Economy,2,Silver,Mobile App,7.067359574174775,5.0,66,0,1,Middle,7
P1220,F840,American Airlines,DEN,SEA,2025-04-14 08:56:34,217,On-time,1521,373.57,60,Male,High,Emergency,Economy,1,Silver,Airport Kiosk,7.955731374625265,2.0,97,0,0,Aisle,39
P1222,F315,JetBlue,SEA,JFK,2023-04-26 19:37:56,135,Delayed,1243,357.08,77,Female,Medium,Emergency,Economy,2,Silver,Airport Kiosk,7.872321977689868,10.0,116,0,0,Window,107
P1226,F1771,JetBlue,DFW,LAX,2024-04-23 22:26:49,247,On-time,1512,346.46,79,Female,Low,Leisure,Economy,0,Platinum,Online,7.649269227791058,1.0,68,0,0,Window,100
P1227,F1595,Delta,JFK,SEA,2024-06-13 12:23:46,180,On-time,1335,449.85,74,Female,Low,Emergency,Business,1,Silver,Mobile App,7.691515920215335,4.0,102,0,0,Middle,5
P1231,F1694,Southwest,JFK,SFO,2023-09-11 14:50:53,238,On-time,1314,443.94,47,Male,Low,Business,Business,0,Platinum,Online,8.735357039555131,4.0,105,1,1,Aisle,97
P1234,F1017,Southwest,ORD,JFK,2024-10-14 04:47:16,200,On-time,822,298.41,64,Female,Medium,Business,First,1,Gold,Desk,8.246404220891971,11.0,54,0,0,Aisle,58
P1236,F1347,American Airlines,DFW,LAX,2023-06-02 13:11:47,181,On-time,679,377.93,35,Male,Medium,Family,Economy,0,Silver,Desk,7.1676328995098295,7.0,61,0,0,Middle,69
P1239,F187,JetBlue,SFO,DFW,2025-04-02 00:32:06,207,On-time,1050,429.53,50,Female,Medium,Emergency,Business,1,Gold,Airport Kiosk,8.26999923456052,16.0,113,0,0,Middle,32
P1243,F931,Southwest,LAX,ORD,2024-04-30 19:01:08,174,On-time,1047,384.59,55,Male,Medium,Family,Economy,0,Silver,Mobile App,7.023986778253794,4.0,101,0,0,Middle,69
P1247,F1754,Delta,ORD,SEA,2023-12-30 12:47:58,105,On-time,1466,323.78,21,Male,High,Business,Economy,0,Silver,Mobile App,7.290102147584029,8.0,86,0,0,Aisle,3
P1248,F1595,American Airlines,SEA,LAX,2024-12-19 14:38:17,168,Delayed,734,272.78,70,Male,High,Business,Economy,1,Gold,Desk,7.732709815818423,0.0,6,0,0,Window,93
P1252,F113,Delta,JFK,LAX,2024-04-15 02:54:36,225,Cancelled,996,346.18,22,Male,High,Family,Economy,1,Platinum,Mobile App,7.5089484160866045,10.0,51,0,0,Middle,93
P1254,F781,Southwest,SEA,SEA,2024-01-17 08:00:54,284,On-time,1150,311.72,67,Male,Medium,Family,Economy,0,Silver,Online,7.382732973940253,4.0,119,0,0,Middle,23
P1256,F1448,JetBlue,JFK,LAX,2025-02-09 21:30:25,170,Delayed,811,419.76,32,Female,Low,Emergency,Business,2,Silver,Online,7.331182844801878,27.0,116,0,1,Window,8
P1257,F1253,United,SEA,ATL,2023-05-05 19:11:30,148,On-time,1371,414.26,29,Male,Medium,Business,Economy,0,Gold,Airport Kiosk,9.125828370545047,1.0,12,0,0,Middle,118
P1258,F1481,American Airlines,SFO,SFO,2023-06-08 01:27:16,163,On-time,2131,245.25,67,Male,Medium,Family,Economy,2,Gold,Desk,5.701911727654867,37.0,116,0,0,Window,2
P1259,F1580,Southwest,JFK,DEN,2024-02-14 09:15:59,197,On-time,1414,379.9,39,Female,Low,Family,Premium Economy,2,Silver,Desk,8.151164147246016,3.0,17,0,1,Window,114
P1260,F429,Southwest,SEA,ATL,2024-04-13 17:53:21,200,On-time,1436,420.97,69,Male,Medium,Emergency,Economy,1,Gold,Mobile App,6.7456061061318815,2.0,13,0,0,Aisle,30
P1261,F1909,United,LAX,JFK,2025-02-27 10:28:44,49,On-time,1449,277.82,34,Female,High,Emergency,Premium Economy,1,Silver,Airport Kiosk,8.260158236776155,9.0,99,0,0,Aisle,39
P1264,F164,American Airlines,DFW,SFO,2024-07-17 04:09:45,108,On-time,1458,344.75,62,Male,Medium,Emergency,Economy,1,Gold,Airport Kiosk,6.916542869255304,9.0,41,0,0,Window,23
P1268,F102,Southwest,ORD,ATL,2023-09-30 15:17:34,89,Delayed,1806,277.89,66,Female,Low,Family,First,2,Platinum,Mobile App,7.876790997790437,10.0,10,0,0,Middle,83
P1269,F1414,JetBlue,JFK,DFW,2023-04-30 17:50:18,115,Delayed,1075,363.78,42,Male,Medium,Family,Economy,1,Platinum,Desk,7.620923130319045,2.0,15,0,1,Middle,91
P1271,F675,Delta,SFO,SEA,2023-09-25 14:50:25,205,On-time,1474,260.27,55,Female,High,Emergency,Economy,0,Silver,Mobile App,6.143999311773682,20.0,42,0,0,Middle,3
P1272,F1946,Southwest,DEN,JFK,2025-02-06 14:19:36,191,Cancelled,1492,182.33,68,Female,Low,Emergency,Economy,1,Silver,Desk,6.9706033627124855,43.0,24,0,0,Aisle,78
P1274,F1813,Delta,ATL,SEA,2025-03-24 06:28:22,181,On-time,1661,214.93,33,Female,High,Leisure,Economy,1,Silver,Airport Kiosk,8.463280891952081,7.0,50,0,0,Aisle,117
P1275,F143,JetBlue,DFW,ATL,2025-01-18 13:41:15,196,On-time,1005,476.92,28,Male,High,Family,Economy,0,Gold,Desk,6.988137320752228,16.0,24,0,0,Aisle,112
P1279,F1679,Southwest,SEA,JFK,2025-04-02 10:29:25,134,Delayed,1458,551.15,63,Female,Medium,Emergency,Premium Economy,0,Silver,Airport Kiosk,7.844087419548033,1.0,107,0,0,Aisle,50
P1280,F1464,American Airlines,SEA,ORD,2024-09-27 14:06:59,155,On-time,810,260.41,73,Male,High,Business,First,0,Silver,Desk,8.444753129751124,6.0,118,0,0,Middle,61
P1283,F1327,American Airlines,DFW,SEA,2023-07-06 09:01:02,290,On-time,1272,356.22,54,Female,Low,Leisure,Economy,1,Platinum,Desk,7.859663733906166,1.0,60,0,0,Middle,78
P1284,F1123,Southwest,JFK,DEN,2023-12-26 01:57:00,126,On-time,1279,421.84,46,Male,Medium,Emergency,Economy,1,Gold,Mobile App,7.530763136839006,6.0,63,0,0,Window,74
P1286,F1966,American Airlines,SEA,DEN,2023-10-16 06:18:09,302,Delayed,1228,502.83,66,Female,High,Leisure,Business,0,Silver,Desk,8.940055069773885,3.0,112,0,0,Window,25
P1287,F645,JetBlue,SEA,ORD,2024-07-19 16:11:50,165,On-time,1824,478.26,39,Male,Medium,Leisure,Economy,1,Platinum,Airport Kiosk,7.401326175959939,1.0,12,0,0,Window,50
P1288,F1291,Delta,SEA,ATL,2025-03-30 01:21:28,100,Delayed,1074,456.8,25,Male,High,Emergency,Economy,1,Silver,Desk,6.8859028745425155,0.0,56,0,0,Window,44
P1290,F1039,United,DEN,DEN,2024-01-26 02:37:45,229,On-time,1089,405.53,24,Female,Medium,Business,Business,0,Silver,Online,7.871783574026311,12.0,105,0,0,Window,4
P1291,F1977,Southwest,SFO,SFO,2024-04-19 05:43:55,125,On-time,1171,348.43,44,Male,High,Family,Business,2,Gold,Desk,7.709160669594051,13.0,2,0,1,Middle,69
P1292,F609,United,DFW,ATL,2023-09-26 13:34:48,224,On-time,1169,300.58,44,Female,Medium,Business,Economy,1,Gold,Desk,7.192695413102919,3.0,70,0,0,Middle,25
P1294,F1215,Southwest,ATL,LAX,2023-08-30 03:47:12,188,On-time,1341,441.9,41,Male,Medium,Business,Economy,0,Gold,Desk,6.963330315255416,7.0,91,0,0,Middle,67
P1295,F235,Delta,ATL,JFK,2023-10-23 22:03:22,180,On-time,1421,433.82,27,Female,High,Business,Business,1,Silver,Airport Kiosk,6.715516987812948,13.0,73,0,0,Aisle,18
P1296,F735,United,SEA,SEA,2023-08-04 06:56:17,138,On-time,1146,281.37,21,Female,High,Family,Economy,0,Silver,Desk,7.210828506850848,30.0,60,0,0,Aisle,83
P1297,F1348,Delta,ORD,JFK,2023-07-10 17:22:36,136,On-time,1075,358.22,72,Female,High,Family,Premium Economy,0,Silver,Mobile App,8.14828916925675,15.0,30,0,0,Aisle,96
P1300,F134,Southwest,DFW,JFK,2024-12-25 23:39:28,200,Delayed,1254,438.69,52,Female,Low,Family,Economy,2,Silver,Airport Kiosk,5.6887335056454935,7.0,89,0,0,Window,11
P1301,F1618,American Airlines,DEN,DEN,2023-11-18 21:34:03,157,On-time,1072,118.65,50,Female,Medium,Family,Economy,1,Silver,Airport Kiosk,6.844369486377852,10.0,117,0,0,Middle,46
P1302,F495,United,SEA,DEN,2024-10-14 10:51:19,242,On-time,1049,254.47,35,Female,Low,Business,Business,1,Platinum,Airport Kiosk,7.994286713732338,3.0,68,0,1,Aisle,0
P1303,F799,American Airlines,ATL,LAX,2023-11-12 21:50:31,196,On-time,962,255.67,77,Female,Low,Emergency,Economy,0,Silver,Desk,8.528340351977002,21.0,119,0,0,Aisle,89
P1305,F1246,JetBlue,SEA,DEN,2023-08-17 01:01:10,185,On-time,1018,296.76,69,Male,Medium,Emergency,Premium Economy,0,Platinum,Online,7.856473245054182,17.0,57,0,0,Middle,63
P1310,F1476,Southwest,JFK,SEA,2024-07-22 20:02:15,84,On-time,1168,300.09,30,Female,Medium,Leisure,Business,2,Silver,Mobile App,6.428602510903185,51.0,20,0,0,Middle,76
P1311,F677,Delta,JFK,SFO,2023-08-05 18:41:41,243,On-time,1888,163.27,31,Female,Medium,Emergency,Economy,0,Silver,Desk,8.64314220189559,1.0,31,0,0,Aisle,106
P1312,F1138,American Airlines,JFK,LAX,2024-02-14 02:06:17,234,On-time,1268,369.26,21,Female,Low,Family,Premium Economy,0,Silver,Mobile App,6.379464404396482,2.0,50,0,0,Window,2
P1315,F625,JetBlue,DEN,LAX,2025-01-07 17:40:35,190,On-time,1633,314.26,54,Female,Low,Business,Economy,0,Silver,Desk,7.577596740563992,2.0,26,0,0,Aisle,49
P1316,F1145,American Airlines,SEA,SEA,2024-06-17 12:36:34,352,On-time,1367,422.38,31,Female,Low,Emergency,Economy,2,Silver,Mobile App,8.50031147959601,1.0,57,0,0,Middle,119
P1319,F463,Delta,SEA,DEN,2023-07-01 19:41:36,92,On-time,1642,371.24,44,Male,Low,Emergency,Business,2,Silver,Mobile App,6.920113408878293,10.0,94,0,0,Middle,22
P1321,F446,Southwest,ATL,LAX,2024-01-18 22:19:42,145,On-time,822,505.06,68,Male,Low,Family,Premium Economy,1,Platinum,Airport Kiosk,9.064546230317015,11.0,25,0,1,Middle,43
P1323,F1253,Southwest,DFW,DFW,2024-04-19 08:34:32,138,On-time,1446,275.52,19,Male,Medium,Family,Economy,1,Platinum,Airport Kiosk,6.697107366315679,3.0,59,1,0,Aisle,12
P1324,F142,Southwest,LAX,DEN,2023-11-22 01:51:56,209,On-time,1166,128.83,31,Male,Medium,Family,Economy,0,Gold,Desk,6.806658609741274,11.0,71,0,0,Aisle,39
P1325,F1301,Southwest,SEA,SFO,2024-09-30 01:49:54,162,On-time,1354,456.08,30,Male,Low,Business,Economy,0,Silver,Online,6.3167219117613564,4.0,115,0,0,Window,1
P1327,F1804,Delta,LAX,LAX,2024-04-05 23:03:53,151,On-time,1509,401.44,69,Female,Medium,Emergency,Business,0,Platinum,Desk,8.184466322813826,33.0,59,0,0,Window,64
P1328,F1808,JetBlue,DEN,SEA,2024-03-07 01:59:03,120,Delayed,739,384.11,25,Female,High,Leisure,Economy,2,Silver,Desk,5.710445231836982,15.0,117,0,0,Aisle,62
P1329,F1584,American Airlines,LAX,ORD,2023-11-08 18:51:18,265,On-time,1538,526.83,21,Female,Low,Emergency,Economy,2,Gold,Desk,8.460600343884082,20.0,30,0,0,Window,100
P1330,F1759,Southwest,ORD,DFW,2024-10-04 03:11:31,215,On-time,1363,272.04,64,Male,Medium,Emergency,Premium Economy,2,Gold,Airport Kiosk,7.869920128460077,2.0,1,0,0,Aisle,72
P1331,F1049,Delta,JFK,LAX,2025-01-11 07:21:26,124,On-time,1425,376.95,62,Male,High,Business,Economy,3,Silver,Airport Kiosk,7.358537954303763,16.0,92,0,0,Aisle,16
P1332,F720,United,DEN,DFW,2024-05-03 18:48:05,223,On-time,1424,261.19,51,Female,Low,Leisure,Premium Economy,0,Gold,Online,7.496243973565713,15.0,85,0,0,Aisle,8
P1333,F850,Delta,ORD,SFO,2024-07-23 13:25:13,264,Delayed,965,364.16,73,Female,Medium,Emergency,Economy,3,Silver,Airport Kiosk,7.146698639804503,12.0,10,0,1,Window,74
P1337,F868,Delta,JFK,ATL,2025-04-06 12:11:43,139,On-time,465,353.7,48,Female,High,Family,Economy,2,Gold,Airport Kiosk,7.333451338925508,15.0,11,0,0,Middle,118
P1338,F1473,American Airlines,ORD,ATL,2023-11-17 00:33:05,243,On-time,1173,217.31,34,Male,Low,Business,Economy,1,Platinum,Mobile App,6.430725414378639,5.0,65,1,0,Middle,34
P1340,F437,United,JFK,DEN,2023-12-10 05:57:16,165,Cancelled,1366,336.64,39,Male,Low,Business,Economy,1,Silver,Airport Kiosk,7.841378667494635,14.0,85,0,0,Window,94
P1342,F1026,United,ATL,DFW,2023-10-12 16:40:38,249,On-time,1224,350.42,44,Male,Low,Leisure,Economy,1,Silver,Desk,6.944491040098216,12.0,33,0,0,Window,68
P1343,F951,American Airlines,DFW,SEA,2024-08-16 10:24:52,118,On-time,1182,324.5,74,Male,Medium,Family,Economy,1,Gold,Mobile App,7.901200365387241,5.0,31,0,0,Middle,61
P1345,F433,American Airlines,SFO,ATL,2023-04-23 07:18:08,137,On-time,1140,309.2,62,Female,Low,Business,Premium Economy,1,Platinum,Mobile App,8.131924202388735,2.0,118,0,0,Window,107
P1346,F1883,JetBlue,SEA,DFW,2025-02-27 12:58:08,264,On-time,1085,257.88,39,Male,Low,Leisure,Economy,0,Silver,Mobile App,7.8248997064560495,4.0,119,0,1,Middle,49
P1350,F937,Delta,ATL,SFO,2023-06-03 02:21:10,194,Delayed,983,266.33,44,Male,Medium,Family,Premium Economy,1,Platinum,Airport Kiosk,7.746790678352833,5.0,79,0,0,Middle,74
P1351,F1881,Delta,ORD,ATL,2023-12-29 00:24:29,121,On-time,1236,342.99,42,Female,Medium,Family,Premium Economy,0,Gold,Mobile App,7.359102365496465,3.0,95,0,0,Middle,8
P1353,F1798,United,ATL,ORD,2023-05-12 17:54:18,336,Cancelled,954,305.7,73,Female,Medium,Family,Economy,2,Silver,Online,8.055436164206533,6.0,40,0,0,Middle,75
P1354,F94,JetBlue,SEA,ORD,2024-07-07 10:52:10,109,On-time,1680,310.57,39,Male,Medium,Family,Economy,1,Silver,Online,6.495639327820926,13.0,61,0,1,Aisle,98
P1355,F1159,JetBlue,DEN,SEA,2023-08-13 02:48:02,332,Cancelled,1298,359.15,23,Male,Low,Business,Business,0,Silver,Desk,8.058084186765281,4.0,12,0,0,Aisle,34
P1356,F1326,Southwest,DFW,JFK,2024-03-07 05:18:43,105,On-time,1508,477.14,62,Male,Medium,Leisure,Economy,2,Platinum,Desk,6.442761283918,6.0,85,0,0,Window,0
P1359,F1292,JetBlue,DFW,ATL,2024-11-21 15:24:59,176,Delayed,1741,385.46,45,Male,High,Business,Economy,1,Gold,Airport Kiosk,6.740572137196402,2.0,26,0,0,Aisle,21
P1360,F962,United,SEA,SEA,2024-11-04 18:52:09,-17,On-time,827,427.87,24,Female,Medium,Business,Economy,1,Silver,Desk,6.564159264819378,25.0,3,0,0,Window,59
P1363,F1103,Delta,SEA,DEN,2024-01-01 19:40:30,173,On-time,1096,132.05,54,Male,Low,Business,Economy,1,Platinum,Online,7.294731890898991,16.0,61,0,0,Window,71
P1364,F689,United,DFW,SEA,2024-05-24 15:05:45,226,On-time,1008,368.68,36,Female,Low,Business,Business,1,Silver,Online,7.692941912087089,1.0,36,0,0,Middle,10
P1365,F193,American Airlines,JFK,DEN,2024-02-22 03:15:39,230,On-time,583,283.95,54,Male,Medium,Business,Business,1,Platinum,Online,8.082665768565942,35.0,92,0,0,Window,104
P1366,F919,American Airlines,SEA,DEN,2023-06-03 08:11:29,163,On-time,1440,405.22,44,Male,Medium,Emergency,Economy,0,Gold,Desk,8.657239090870089,7.0,37,0,0,Window,100
P1367,F339,Delta,ORD,SEA,2024-11-16 06:08:40,220,On-time,1616,378.41,30,Female,Low,Business,Premium Economy,0,Platinum,Desk,7.828771857379224,7.0,46,0,0,Window,13
